"","Symbol","Date","Prev.Close","Open.Price","High.Price","Low.Price","Close.Price","Average.Price","Total.Traded.Quantity","MA30","MA50","MA100","MA200"
"2025","AXISBANK","10-Sep-07",651.2,621,657,612.65,649.6,648.99,351471,614.035,620.953,584.952,537.6505
"2026","AXISBANK","11-Sep-07",649.6,654.7,658.9,645,646.95,649.48,222745,614.295,621.744,586.7755,538.36725
"2027","AXISBANK","12-Sep-07",646.95,658.4,658.4,645.1,646.6,648.86,349171,614.985,622.207,588.579,539.07425
"2028","AXISBANK","13-Sep-07",646.6,648,666.6,648,659.5,659.73,505701,616.3683333,623.025,590.5445,539.8745
"2029","AXISBANK","14-Sep-07",659.5,660,672,642.2,650,661.55,698468,617.3566667,623.425,592.3625,540.642
"2030","AXISBANK","17-Sep-07",650,646,661.5,641,658.65,652.93,459555,618.6066667,624.023,594.272,541.455
"2031","AXISBANK","18-Sep-07",658.65,656,669.4,652.9,660.3,659.43,614081,619.94,624.539,596.217,542.3005
"2032","AXISBANK","19-Sep-07",660.3,680,697,670,684.2,683.2,1012879,622.2883333,625.609,598.509,543.37225
"2033","AXISBANK","20-Sep-07",684.2,692,712,681.5,706.15,694.56,1214695,624.965,627.093,600.8885,544.5315
"2034","AXISBANK","21-Sep-07",706.15,707,714,703,709.7,708.53,486857,628.3866667,628.436,603.253,545.6125
"2035","AXISBANK","24-Sep-07",709.7,712,743,710.05,732.1,728.71,542983,633.145,630.182,605.773,546.79375
"2036","AXISBANK","25-Sep-07",732.1,730,740.7,728.1,739.55,735.37,644897,637.7883333,632.058,608.1025,548.035
"2037","AXISBANK","26-Sep-07",739.55,740,760.05,740,755.75,753.94,934521,643.0633333,634.179,610.593,549.39875
"2038","AXISBANK","27-Sep-07",755.75,770,776,759.8,768.7,768.51,982665,650.0916667,636.429,613.0985,550.82725
"2039","AXISBANK","28-Sep-07",768.7,771,775,752.65,764.6,763.67,975475,656.4066667,638.719,615.509,552.3255
"2040","AXISBANK","1-Oct-07",764.6,766.9,772.5,744,751.5,753.53,643127,661.3016667,640.857,617.8195,553.86375
"2041","AXISBANK","3-Oct-07",751.5,753,766,729.9,757.6,755.5,1013348,666.8583333,643.521,620.141,555.49525
"2042","AXISBANK","4-Oct-07",757.6,759.7,764.9,725,754.8,743.19,771698,672.6,646.318,622.3465,557.06175
"2043","AXISBANK","5-Oct-07",754.8,753.55,762,731,738.9,749.85,325965,677.8133333,648.725,624.316,558.51525
