,Symbol,Series,Date,Prev.Close,Open.Price,High.Price,Low.Price,Last.Price,Close.Price,Average.Price,Total.Traded.Quantity,Turnover,No..of.Trades,Deliverable.Qty,X..Dly.Qt.to.Traded.Qty,,,MA30,MA50,MA100,MA200
179,UTIBANK,EQ,31-Aug-99,18.35,18,18.6,17.7,17.85,17.8,17.98,44400,798225,-,-,-,,,17.38166667,17.403,16,
180,UTIBANK,EQ,1-Sep-99,17.8,18,18.2,17.6,17.9,17.95,17.91,18000,322325,-,-,-,,,17.37,17.451,16.0545,
181,UTIBANK,AE,2-Sep-99,17.5,18.5,18.5,18.5,18.5,18.5,18.5,100,1850,-,-,-,,,17.39833333,17.511,16.1125,
182,UTIBANK,EQ,2-Sep-99,17.95,18,18.15,17.6,17.6,17.65,17.88,13700,244945,-,-,-,,,17.40333333,17.551,16.157,
183,UTIBANK,EQ,3-Sep-99,17.65,17.05,18.4,16.25,18,18,17.87,14300,255470,-,-,-,,,17.42333333,17.59,16.207,
184,UTIBANK,EQ,6-Sep-99,18,17.75,18.25,17.75,18.25,18.15,18.02,11700,210805,-,-,-,,,17.44833333,17.637,16.2565,
185,UTIBANK,EQ,7-Sep-99,18.15,17.5,18,17.5,17.9,17.9,17.9,21800,390160,-,-,-,,,17.49166667,17.667,16.303,
186,UTIBANK,EQ,8-Sep-99,17.9,18,18.25,17.8,17.95,18,18.04,23600,425780,-,-,-,,,17.56166667,17.712,16.3465,
187,UTIBANK,EQ,9-Sep-99,18,18.2,18.35,17.1,17.95,17.85,17.88,33600,600910,-,-,-,,,17.59333333,17.729,16.3875,
188,UTIBANK,EQ,10-Sep-99,17.85,18,18.8,17.8,18.25,18.2,18.22,34900,636050,-,-,-,,,17.63333333,17.733,16.4325,
189,UTIBANK,EQ,14-Sep-99,18.2,18.7,18.75,17.1,18,17.85,17.81,28000,498670,-,-,-,,,17.67833333,17.753,16.4735,
190,UTIBANK,EQ,15-Sep-99,17.85,18.9,19,17.75,18.25,18.1,18.15,16500,299485,-,-,-,,,17.70833333,17.78,16.522,
191,UTIBANK,EQ,16-Sep-99,18.1,18,18.2,17.75,17.75,17.8,17.94,19800,355250,-,-,-,,,17.74833333,17.813,16.565,
192,UTIBANK,EQ,17-Sep-99,17.8,17.65,18,17.6,18,18,17.94,12600,226045,-,-,-,,,17.79333333,17.846,16.604,
