Symbol,Date,Prev.Close,Open.Price,High.Price,Low.Price,Close.Price,Average.Price,Total.Traded.Quantity,MA30,MA50,MA100,MA200
UTIBANK,8-May-00,35.7,36.2,36.2,34.5,34.6,35.08,41150,34.71666667,33.811,33.607,26.59625
UTIBANK,9-May-00,34.6,34.1,36.5,34.1,36.15,35.5,46303,34.87333333,33.809,33.7185,26.68525
UTIBANK,10-May-00,36.15,35.6,36.25,35.05,35.8,35.81,72915,35.00333333,33.742,33.8445,26.77525
UTIBANK,11-May-00,35.8,35.25,35.55,34.5,35.15,35.09,55996,35.155,33.681,33.956,26.86125
UTIBANK,12-May-00,35.15,35.5,35.5,35,35.25,35.22,28457,35.27333333,33.675,34.0725,26.945
UTIBANK,15-May-00,35.25,34.75,35.9,32.5,35.45,34.4,61100,35.31333333,33.624,34.1945,27.034
UTIBANK,16-May-00,35.45,36.9,36.9,34.1,35.35,35.08,81449,35.26666667,33.627,34.2965,27.12075
UTIBANK,17-May-00,35.35,35.75,38.1,35.4,37.25,36.52,84611,35.185,33.643,34.42,27.21625
UTIBANK,18-May-00,37.25,37,38.9,36.15,36.75,37.57,41617,35.11333333,33.725,34.5315,27.3105
UTIBANK,19-May-00,36.75,38.5,38.5,36.6,37.05,36.99,34695,35.155,33.854,34.645,27.40575
UTIBANK,22-May-00,37.05,36,37,35.6,36.15,36.07,46550,35.20333333,34.007,34.762,27.49725
UTIBANK,23-May-00,36.15,36.2,36.5,34.5,35,35.19,57066,35.27666667,34.093,34.861,27.58125
UTIBANK,24-May-00,35,34.5,35.9,33.3,35.35,35.1,28260,35.27333333,34.239,34.9665,27.66875
UTIBANK,25-May-00,35.35,35.5,35.95,34.85,35.1,35.58,73554,35.17833333,34.336,35.0645,27.75375
UTIBANK,26-May-00,35.1,34.55,35.35,34.55,34.95,34.94,16358,35.12,34.468,35.1635,27.8395
UTIBANK,29-May-00,34.95,35,35.9,34.05,35.45,35.09,25253,35.07,34.595,35.248,27.92675
UTIBANK,30-May-00,35.45,35.7,35.75,34.8,35.3,35.18,33023,35.08,34.753,35.3305,28.0135
UTIBANK,31-May-00,35.3,36.2,36.8,35.6,36.1,36.23,36928,35.14833333,34.883,35.399,28.1065
UTIBANK,1-Jun-00,36.1,35.3,36.45,35.3,35.6,35.79,24197,35.18833333,34.957,35.439,28.19675
UTIBANK,2-Jun-00,35.6,35.75,36.15,35,35.15,35.29,33805,35.23166667,35.044,35.4745,28.28375
UTIBANK,5-Jun-00,35.15,35.7,36.25,35.3,35.4,35.86,26315,35.29666667,35.105,35.4895,28.373
UTIBANK,6-Jun-00,35.4,34.15,35.9,34.15,35.45,35.43,31855,35.39333333,35.185,35.5025,28.46425
UTIBANK,7-Jun-00,35.45,35.8,35.8,35.2,35.6,35.51,30030,35.54333333,35.259,35.4895,28.55525
UTIBANK,8-Jun-00,35.6,34.75,36.15,34.7,35.9,35.77,56505,35.62,35.365,35.45,28.64725
UTIBANK,9-Jun-00,35.9,36,36,35.4,35.45,35.66,28970,35.63666667,35.44,35.406,28.7245
